CHARTER,SNAME,DNAME,CNAME,API12B,ST_RANK,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED
D,Holly Drive Leadership Academy,San Diego Unified,San Diego,772,3,44,0,3,0,46,1,0,7,99,5,0,30,10,18,21,20,N/A,76,15,30,21,20,14,2.88
,J. C. Crumpton Elementary,Monterey Peninsula Unified,Monterey,772,3,13,0,6,5,40,5,19,12,72,2,0,22,4,15,22,28,N/A,100,12,31,30,17,10,2.82
,Highlands Elementary,La Mesa-Spring Valley,San Diego,772,3,12,0,0,1,52,1,26,8,66,11,0,23,5,18,28,33,N/A,98,12,30,34,15,9,2.8
,John and Jacquelyn Miller Elementary,Lancaster Elementary,Los Angeles,772,3,31,0,2,3,37,0,24,1,69,9,0,11,5,12,30,28,N/A,99,15,28,36,17,4,2.68
,Ramon S. Tafoya Elementary,Woodland Joint Unified,Yolo,772,3,1,0,10,2,66,1,16,2,70,12,2,36,17,12,32,31,N/A,91,19,29,25,17,9,2.67
,Dana Gray Elementary,Fort Bragg Unified,Mendocino,772,3,0,1,1,0,43,0,49,5,65,0,2,21,15,6,21,24,N/A,88,15,30,38,9,8,2.65
,Lincoln (Abraham) High,San Francisco Unified,San Francisco,772,6,6,0,61,5,17,0,6,1,57,25,0,26,33,12,N/A,N/A,27,76,18,34,20,22,6,2.63
,Thomas R. Pollicita Middle,Jefferson Elementary,San Mateo,772,4,3,0,7,40,43,1,2,3,59,5,0,28,19,9,N/A,25,25,84,14,33,29,23,0,2.62
,Lark Ellen Elementary,Covina-Valley Unified,Los Angeles,772,3,2,1,3,3,84,1,4,1,78,8,0,28,8,15,20,24,N/A,99,19,30,31,15,5,2.59
,,Lompoc Unified,Santa Barbara,772,B,4,1,2,1,59,0,28,5,62,10,1,21,14,10,20,24,26,94,22,30,27,13,9,2.58
,Suisun Elementary,Fairfield-Suisun Unified,Solano,772,3,25,1,7,9,41,0,11,5,77,3,0,22,9,13,19,24,N/A,99,11,39,34,15,1,2.57
,Letha Raney Intermediate,Corona-Norco Unified,Riverside,772,4,4,0,6,2,62,1,24,1,58,16,0,12,32,13,N/A,36,27,100,25,26,24,16,8,2.55
,Calimesa Elementary,Yucaipa-Calimesa Joint Unified,San Bernardino,772,3,1,1,1,0,45,0,50,3,69,2,0,20,2,8,21,33,N/A,97,16,30,42,9,3,2.52
,Oceanside High,Oceanside Unified,San Diego,772,6,8,0,1,2,61,3,22,0,59,9,4,15,28,11,N/A,N/A,21,79,24,26,32,14,5,2.5
,,Live Oak Unified,Sutter,772,B,0,1,13,0,62,0,23,0,80,3,8,17,32,11,26,24,26,85,24,32,27,12,5,2.44
,Oakley Elementary,Oakley Union Elementary,Contra Costa,772,3,5,0,1,1,66,1,23,4,81,0,2,35,8,16,26,26,N/A,99,20,34,35,8,3,2.39
,Fairmead Elementary,Chowchilla Elementary,Madera,772,3,2,1,1,0,62,0,34,0,83,5,5,17,21,10,N/A,27,N/A,91,28,28,27,12,5,2.38
,,Robla Elementary,Sacramento,772,B,13,0,19,1,45,2,17,2,83,4,0,45,6,13,22,27,N/A,92,22,35,28,13,2,2.38
,Monte Vista Middle,San Jacinto Unified,Riverside,772,4,10,1,1,1,70,1,14,2,79,6,0,17,19,11,N/A,29,30,93,25,34,27,9,5,2.36
,,Twin Ridges Elementary,Nevada,772,B,1,4,1,0,4,0,54,5,90,0,0,5,0,14,17,7,4,43,29,31,23,14,3,2.31
,Kornblum,Hawthorne,Los Angeles,772,3,36,0,1,1,59,1,1,0,83,3,0,42,3,13,27,32,N/A,91,21,39,31,8,1,2.29
,Fremont Elementary,Riverside Unified,Riverside,772,3,7,1,1,0,79,0,9,0,88,7,0,33,15,12,28,31,N/A,97,33,29,25,9,4,2.22
,Caruthers Elementary,Caruthers Unified,Fresno,772,3,0,1,9,0,76,0,14,1,87,12,19,45,23,8,18,19,21,100,37,28,20,8,7,2.21
,Maxwell Elementary,Maxwell Unified,Colusa,772,3,1,3,1,0,52,0,41,0,65,10,6,36,6,12,22,24,18,91,36,29,19,11,4,2.19
,Dingle Elementary,Woodland Joint Unified,Yolo,772,3,2,0,2,0,77,0,18,1,83,15,4,36,19,9,29,27,N/A,89,36,26,25,9,4,2.19
,Sequoia Elementary,Manteca Unified,San Joaquin,772,3,3,1,2,1,73,1,18,2,85,3,1,29,17,8,31,31,29,97,30,39,21,9,2,2.13
,Live Oak Elementary,Fontana Unified,San Bernardino,772,3,2,0,0,0,96,0,2,0,100,4,0,54,20,13,23,29,N/A,87,35,38,17,6,4,2.06
,Anderson Valley Elementary,Anderson Valley Unified,Mendocino,772,3,1,0,0,0,74,0,25,1,81,0,13,62,7,10,22,20,N/A,91,35,41,15,7,2,2.01
,Clarence Ruth Elementary,Lompoc Unified,Santa Barbara,772,3,3,0,1,0,85,0,8,2,85,8,2,45,16,6,22,28,N/A,98,38,36,18,6,2,1.97
,J. E. Van Wig Elementary,Bassett Unified,Los Angeles,772,3,1,0,1,1,95,0,1,0,91,5,0,38,13,8,23,30,N/A,97,37,40,15,8,0,1.96
,Lincoln Elementary,Ontario-Montclair Elementary,San Bernardino,772,C,4,1,2,1,89,0,2,1,85,3,0,58,13,38,18,20,N/A,97,43,35,13,5,4,1.9
,El Camino Real Elementary,Arvin Union Elementary,Kern,772,3,0,0,1,0,96,0,3,0,88,3,17,68,17,9,25,30,N/A,97,47,29,16,6,2,1.86
,McPherson Elementary,Napa Valley Unified,Napa,772,3,0,0,0,0,91,0,8,0,88,0,7,59,26,8,28,30,N/A,98,42,40,11,5,2,1.85
,Sierra Vista Middle,Hacienda la Puente Unified,Los Angeles,772,4,2,0,2,2,92,0,2,0,88,11,2,15,35,13,N/A,11,30,81,44,38,14,5,0,1.8
D,Para Los Ninos Charter,Los Angeles Unified,Los Angeles,772,3,0,0,0,0,100,0,0,0,95,0,0,80,9,9,24,24,N/A,95,55,22,13,7,2,1.79
,Centinela Elementary,Inglewood Unified,Los Angeles,772,3,10,0,0,0,90,0,0,0,96,0,0,27,0,15,30,31,N/A,98,52,29,13,3,3,1.77
,Oak View Elementary,Ocean View,Orange,772,3,0,0,0,0,99,0,0,0,78,1,0,77,20,10,23,29,N/A,98,75,21,5,0,0,1.3
,Ocean View High,Huntington Beach Union High,Orange,772,6,2,5,8,1,55,1,26,1,52,9,0,18,33,11,N/A,N/A,28,0,0,0,0,0,0,
,Open Alternative,Santa Barbara Unified,Santa Barbara,771,3,0,0,3,0,28,0,55,15,33,1,0,12,0,26,23,27,N/A,97,0,7,18,43,32,3.99
Y,Charter Montessori Blue Oak Campus,Buckeye Union Elementary,El Dorado,771,3,1,0,3,3,21,0,69,4,27,1,0,4,3,12,22,N/A,N/A,96,1,8,34,36,20,3.66
D,FAME Public Charter,Alameda County Office of Educa,Alameda,771,3,10,1,21,2,12,1,50,0,37,0,0,23,16,7,15,19,3,85,6,13,25,30,25,3.56
,Westwood Elementary,Mt. Diablo Unified,Contra Costa,771,3,3,0,5,5,40,3,41,3,49,3,0,23,9,18,23,22,N/A,57,4,17,35,28,16,3.35
D,Pacific Community Charter,Arena Union Elementary,Mendocino,771,3,0,0,0,0,22,0,62,15,53,1,0,5,0,3,4,1,N/A,95,4,16,37,31,11,3.3
,Blue Lake Elementary,Blue Lake Union Elementary,Humboldt,771,3,0,2,0,0,2,0,10,1,46,13,0,1,0,25,,,,96,5,19,32,32,12,3.29
,C. K. McClatchy High,Sacramento City Unified,Sacramento,771,6,9,1,22,1,34,1,25,7,55,22,0,15,18,7,N/A,N/A,30,92,17,25,21,21,16,2.92
,Diamond View Middle,Susanville Elementary,Lassen,771,4,3,11,2,2,15,3,63,0,49,3,0,3,4,8,N/A,32,23,88,4,25,52,14,5,2.9
,John Swett High,John Swett Unified,Contra Costa,771,6,15,0,10,10,30,0,25,9,45,7,0,11,14,11,N/A,N/A,21,96,10,37,25,23,5,2.78
,Conyer Elementary,Visalia Unified,Tulare,771,3,3,2,1,0,61,1,31,2,74,12,1,9,3,17,27,28,N/A,98,12,26,40,17,5,2.77
,Stella Brockman Elementary,Manteca Unified,San Joaquin,771,3,7,1,6,4,51,1,29,1,64,4,0,17,13,13,26,30,28,90,10,38,26,21,6,2.76
,Whitethorn Elementary,Southern Humboldt Joint Unifie,Humboldt,771,3,0,2,4,0,0,0,95,0,36,0,0,0,0,5,13,9,N/A,56,10,35,26,29,0,2.74
,Red Bluff High,Red Bluff Joint Union High,Tehama,771,6,1,2,1,1,25,0,67,1,48,0,0,2,2,11,N/A,N/A,25,3,8,42,31,8,12,2.73
,,Winters Joint Unified,Yolo,771,B,0,0,1,0,62,0,36,1,63,5,5,34,17,13,25,26,23,87,23,20,28,18,10,2.72
,Salinas High,Salinas Union High,Monterey,771,6,2,1,4,3,62,1,28,0,40,7,8,16,22,9,N/A,N/A,19,77,23,23,26,18,10,2.7
,,Briggs Elementary,Ventura,771,B,0,0,0,0,84,0,15,0,70,2,3,27,17,8,25,31,N/A,90,14,35,28,12,11,2.7
,,Fort Bragg Unified,Mendocino,771,B,1,2,1,0,41,0,50,5,64,2,3,17,15,7,20,21,18,89,16,28,38,9,9,2.67
,Sultana High,Hesperia Unified,San Bernardino,771,6,7,0,0,1,55,0,35,0,62,7,0,14,12,10,N/A,N/A,30,92,17,29,34,13,7,2.63
,Aloha Elementary,ABC Unified,Los Angeles,771,3,22,0,4,6,55,3,5,3,84,8,5,22,13,13,26,30,N/A,91,19,30,32,16,2,2.53
,Four Creeks Elementary,Visalia Unified,Tulare,771,3,3,1,4,1,78,0,10,3,100,9,3,25,9,8,28,32,N/A,94,18,31,35,13,3,2.52
,Chula Vista Middle,Sweetwater Union High,San Diego,771,4,3,1,1,3,87,0,5,0,77,15,0,26,31,9,N/A,N/A,30,84,23,30,29,12,6,2.49
,La Sierra High,Alvord Unified,Riverside,771,6,6,0,5,3,68,1,16,2,61,9,0,24,21,9,N/A,N/A,30,97,26,28,28,12,5,2.42
,Palma Ceia Elementary,Hayward Unified,Alameda,771,3,9,0,9,15,56,5,4,1,78,0,0,35,23,9,29,27,N/A,76,16,44,26,13,1,2.39
,Ayer Elementary,Fresno Unified,Fresno,771,3,18,0,14,1,62,0,4,0,100,23,2,26,15,10,25,30,N/A,69,22,33,35,7,4,2.37
,Belleview Elementary,Porterville Unified,Tulare,771,3,1,1,1,1,74,0,21,1,78,0,2,24,4,3,23,31,N/A,99,32,24,28,9,7,2.34
,Oceano Elementary,Lucia Mar Unified,San Luis Obispo,771,3,2,0,0,0,75,0,19,1,85,1,1,59,2,15,24,26,N/A,66,33,25,22,16,4,2.31
,University Heights Middle,Riverside Unified,Riverside,771,4,12,1,2,1,73,1,10,0,86,7,0,20,25,13,N/A,N/A,28,94,36,27,25,7,4,2.16
,Laguna Nueva,Montebello Unified,Los Angeles,771,3,0,2,0,0,98,0,0,0,100,8,0,29,46,7,22,29,32,95,32,41,16,8,3,2.1
,Calistoga Junior-Senior High,Calistoga Joint Unified,Napa,771,6,1,0,0,0,74,0,23,0,68,17,33,33,31,11,N/A,N/A,21,76,46,24,12,16,2,2.05
,Hillside Elementary,Los Angeles Unified,Los Angeles,771,3,2,0,9,0,88,0,2,0,100,5,0,35,20,14,17,20,N/A,92,34,41,15,8,2,2.05
,Grapevine Elementary,Vista Unified,San Diego,771,3,4,0,0,1,82,3,9,2,85,0,1,50,13,14,24,29,N/A,83,36,37,19,6,2,2.03
,Taylor Mountain Elementary,Bellevue Union Elementary,Sonoma,771,3,3,2,2,0,82,0,10,0,92,5,7,71,7,11,21,28,N/A,92,33,42,17,6,2,2.03
,Hope Street Elementary,Los Angeles Unified,Los Angeles,771,3,1,0,0,0,99,0,1,0,100,7,0,41,21,8,20,21,N/A,80,48,21,21,6,4,1.99
,Coral Mountain Academy,Coachella Valley Unified,Riverside,771,3,0,0,0,0,98,0,1,0,98,7,7,64,10,7,26,26,N/A,98,38,39,17,4,2,1.93
,Williams Upper Elementary,Williams Unified,Colusa,771,3,1,0,1,0,87,0,10,0,84,0,10,41,37,11,N/A,24,N/A,88,47,35,9,4,5,1.86
,Palm Lane Elementary,Anaheim City,Orange,771,3,4,0,6,1,84,1,3,1,93,11,0,45,33,8,28,30,N/A,1,33,50,17,0,0,1.83
,Victoria Avenue Elementary,Los Angeles Unified,Los Angeles,771,3,1,1,0,0,98,0,0,0,88,9,1,45,21,7,20,20,N/A,17,54,20,21,4,1,1.79
,Charles H. Castle Elementary,Panama-Buena Vista Union,Kern,771,3,24,1,2,1,55,0,16,0,90,1,0,12,9,11,27,24,N/A,41,44,41,13,3,0,1.75
,Park Avenue Elementary,Yuba City Unified,Sutter,771,3,1,1,1,0,87,0,8,2,100,2,9,51,25,9,20,20,N/A,95,48,38,9,2,2,1.74
,Caswell Elementary,Ceres Unified,Stanislaus,771,3,1,1,2,0,85,2,8,1,97,2,14,60,6,10,22,32,N/A,99,52,34,9,3,1,1.66
D,Keegan Academy,Temecula Valley Unified,Riverside,770,3,3,0,0,5,24,0,56,13,16,0,0,1,0,15,15,21,N/A,95,1,7,37,29,26,3.72
,,Northern Humboldt Union High,Humboldt,770,B,2,5,2,0,9,0,67,7,23,1,0,2,1,14,6,11,16,95,6,20,25,27,23,3.42
D,Mountain Peak Charter,Mountain Empire Unified,San Diego,770,3,4,1,3,0,45,1,48,0,39,0,0,8,4,8,15,10,2,97,6,15,36,23,20,3.36
,Pacheco Elementary,Pacheco Union Elementary,Shasta,770,4,0,6,2,0,12,0,78,1,48,8,0,0,0,9,N/A,25,32,97,7,21,41,21,11,3.08
,Saticoy Elementary,Ventura Unified,Ventura,770,3,3,0,0,0,68,0,25,3,68,4,0,23,1,7,24,30,N/A,99,11,15,39,24,10,3.08
,Paradise Senior High,Paradise Unified,Butte,770,6,1,1,1,0,9,0,84,4,52,8,0,0,0,17,N/A,N/A,26,100,5,21,46,20,8,3.05
,Harbor High,Santa Cruz City High,Santa Cruz,770,6,2,1,3,2,46,0,43,3,44,14,4,13,25,9,N/A,N/A,27,91,16,21,23,27,13,3
,,Rohnerville Elementary,Humboldt,770,B,2,3,0,0,17,0,72,5,47,9,0,10,4,23,25,26,18,91,8,27,33,21,10,2.97
,Valentine Peyton Elementary,Stockton Unified,San Joaquin,770,3,21,2,20,15,33,1,7,0,75,4,0,18,13,8,28,31,30,96,6,31,33,21,9,2.95
,Cimarron Avenue Elementary,Los Angeles Unified,Los Angeles,770,3,90,0,0,0,8,0,1,0,73,14,0,3,1,21,8,5,N/A,85,10,19,45,20,7,2.94
,Willow Glen High,San Jose Unified,Santa Clara,770,6,4,1,6,2,52,0,32,3,42,21,0,15,20,11,N/A,N/A,28,93,19,19,25,25,11,2.92
,San Marcos Senior High,Santa Barbara Unified,Santa Barbara,770,6,2,1,3,1,57,0,35,2,43,19,0,23,18,14,N/A,N/A,27,97,26,17,19,20,18,2.88
,,Linns Valley-Poso Flat Union,Kern,770,B,0,0,0,0,9,0,87,4,70,0,0,0,0,0,3,4,N/A,91,0,43,33,19,5,2.86
,Linns Valley-Poso Flat Elementary,Linns Valley-Poso Flat Union,Kern,770,3,0,0,0,0,9,0,87,4,70,0,0,0,0,0,3,4,N/A,91,0,43,33,19,5,2.86
,Justin Elementary,Simi Valley Unified,Ventura,770,3,3,0,3,4,53,0,35,2,55,2,0,22,11,13,24,34,N/A,85,11,36,25,18,10,2.79
D,Public Safety Academy,San Bernardino City Unified,San Bernardino,770,6,9,2,2,0,63,0,22,1,55,0,0,7,18,4,,,,84,9,29,43,12,6,2.77
,Sheridan Elementary,San Francisco Unified,San Francisco,770,3,25,0,14,14,31,5,5,2,83,8,0,37,8,8,19,21,N/A,90,15,28,29,22,6,2.75
,Reynolds Elementary,Oceanside Unified,San Diego,770,3,8,0,2,7,59,3,17,2,67,7,3,29,13,14,26,30,N/A,88,19,23,36,16,7,2.71
,Vista Middle,Red Bluff Union Elementary,Tehama,770,4,1,3,0,0,27,1,65,3,67,4,1,11,7,8,N/A,N/A,28,99,16,29,36,14,5,2.63
,,Sacramento City Unified,Sacramento,770,B,17,1,19,1,36,2,19,5,73,14,0,22,15,13,24,28,26,82,22,29,24,15,9,2.6
,Corona High,Corona-Norco Unified,Riverside,770,6,3,0,3,1,64,1,27,0,54,8,0,10,29,11,N/A,N/A,30,89,24,24,28,17,7,2.59
,,Jamestown Elementary,Tuolumne,770,B,2,3,0,0,21,1,70,0,69,3,0,7,2,19,4,3,3,94,12,34,43,7,4,2.58
,Rancho Alamitos High,Garden Grove Unified,Orange,770,6,1,0,30,1,52,1,14,0,64,6,0,31,40,11,N/A,N/A,29,57,23,35,17,20,4,2.47
,Jeanne R. Meadows Elementary,Franklin-McKinley Elementary,Santa Clara,770,3,1,0,22,9,64,0,2,1,80,15,3,48,28,9,23,29,N/A,98,23,35,23,14,5,2.44
,Harvest Middle,Napa Valley Unified,Napa,770,4,0,0,1,0,65,0,29,3,58,16,5,20,31,11,N/A,29,27,97,33,23,20,16,7,2.42
,North Hollywood Senior High,Los Angeles Unified,Los Angeles,770,6,4,0,6,2,69,0,16,1,79,29,0,15,42,9,N/A,N/A,31,61,35,24,16,16,9,2.42
,Lake Marie Elementary,South Whittier Elementary,Los Angeles,770,3,2,0,0,4,92,0,2,0,74,12,2,39,5,16,24,33,N/A,51,21,36,28,14,1,2.38
,Marshall Elementary,San Francisco Unified,San Francisco,770,3,1,0,1,3,81,0,8,1,88,6,10,70,10,11,22,18,N/A,88,30,38,14,11,7,2.27
,Wishon Elementary,Fresno Unified,Fresno,770,3,4,1,8,0,79,0,8,0,100,1,1,27,16,11,27,27,N/A,72,31,31,29,6,3,2.19
,De Anza Academy of Technology and the Ar,Ventura Unified,Ventura,770,4,1,1,1,0,75,0,20,2,100,16,1,34,18,14,N/A,25,26,97,42,22,19,10,7,2.19
,Poplar Elementary,Fontana Unified,San Bernardino,770,3,2,0,1,1,91,1,4,0,100,2,0,44,23,13,21,28,N/A,87,31,37,19,9,4,2.18
,Healdsburg Elementary,Healdsburg Unified,Sonoma,770,3,1,0,0,0,75,0,23,0,72,0,9,59,7,10,21,29,N/A,100,43,21,18,13,6,2.17
,James A. Whitaker Elementary,Buena Park Elementary,Orange,770,3,5,1,7,1,77,0,8,1,80,4,0,54,6,10,29,29,N/A,82,34,32,20,11,3,2.17
,,La Honda-Pescadero Unified,San Mateo,770,B,0,0,0,1,65,1,33,0,61,2,7,50,11,14,11,15,11,98,55,9,11,16,8,2.13
,Palm Tree Elementary,Palmdale Elementary,Los Angeles,770,3,14,0,1,1,75,0,7,1,92,5,2,41,7,7,23,26,N/A,94,33,35,25,6,2,2.08
,Skylark Elementary,Garden Grove Unified,Orange,770,3,1,0,7,1,90,1,1,0,87,0,0,68,19,10,26,29,N/A,23,30,45,21,4,0,1.99
,Challenger Middle,Wilsona Elementary,Los Angeles,770,4,13,2,0,0,68,0,16,1,100,2,3,27,19,14,N/A,32,27,95,43,28,20,7,2,1.97
,Emerson Elementary,Compton Unified,Los Angeles,770,3,25,0,0,0,72,2,0,0,91,7,0,40,21,13,27,28,N/A,92,45,25,21,7,2,1.95
,Jack Norton Elementary,Klamath-Trinity Joint Unified,Humboldt,770,3,0,79,0,0,16,0,5,0,100,0,0,0,0,26,N/A,10,N/A,95,22,61,17,0,0,1.94
,Lillian Street Elementary,Los Angeles Unified,Los Angeles,770,3,1,0,0,0,99,0,0,0,100,3,1,40,30,9,20,25,N/A,85,49,27,12,7,5,1.93
,Baker Elementary,Mountain View Elementary,Los Angeles,770,3,0,0,8,0,91,0,0,0,99,2,4,59,19,14,27,25,N/A,99,44,39,11,5,1,1.8
,Dr. James Edward Jones Primary Center,Los Angeles Unified,Los Angeles,770,3,10,0,0,0,88,2,0,0,100,0,0,48,23,0,21,N/A,N/A,92,45,45,5,2,2,1.7
,Willow Oaks Elementary,Ravenswood City Elementary,San Mateo,770,3,8,0,1,0,83,7,0,1,91,0,8,31,49,10,23,31,N/A,98,56,27,11,4,1,1.66
,Bullard High,Fresno Unified,Fresno,769,6,14,1,5,1,39,1,39,0,45,29,0,3,7,9,N/A,N/A,26,94,5,20,35,23,18,3.3
,McKinleyville High,Northern Humboldt Union High,Humboldt,769,6,1,6,0,0,8,0,74,11,29,3,0,2,1,15,N/A,N/A,17,90,6,28,28,23,15,3.13
,Mission Valley,Lompoc Unified,Santa Barbara,769,3,3,3,0,0,40,0,51,3,51,3,0,3,6,6,,,,94,3,27,36,24,9,3.09
,Lakewood Elementary,Lodi Unified,San Joaquin,769,3,0,0,1,1,28,0,69,0,56,15,1,17,3,18,25,27,N/A,71,13,23,32,20,13,2.96
,Loma Elementary,La Mesa-Spring Valley,San Diego,769,3,14,1,3,4,49,2,21,7,64,8,0,23,10,17,25,28,N/A,88,9,30,33,21,6,2.84
,Monterey Trail High,Elk Grove Unified,Sacramento,769,6,20,1,35,7,24,3,7,4,69,7,0,17,34,8,N/A,N/A,27,96,13,33,27,21,7,2.78
,,Big Valley Joint Unified,Lassen,769,B,0,1,0,0,18,0,74,6,67,0,18,6,0,8,14,2,3,71,10,31,35,22,2,2.74
,Ada Givens Elementary,Merced City Elementary,Merced,769,3,7,0,9,1,58,0,25,1,79,0,3,23,6,11,24,27,N/A,85,15,27,37,13,9,2.74
,Garfield Elementary,San Leandro Unified,Alameda,769,3,13,0,14,12,44,2,12,3,68,12,0,36,17,17,20,21,N/A,89,13,31,35,14,6,2.7
,Fort Bragg High,Fort Bragg Unified,Mendocino,769,6,1,2,1,1,39,0,51,5,58,0,3,10,21,8,N/A,N/A,19,89,19,25,35,11,10,2.67
,Powers-Ginsburg Elementary,Fresno Unified,Fresno,769,3,12,1,3,0,61,0,20,0,84,22,0,15,5,19,21,32,N/A,91,15,30,39,9,8,2.64
,Del Roble Elementary,Oak Grove Elementary,Santa Clara,769,3,8,1,15,5,55,1,13,2,62,14,0,34,9,7,27,31,N/A,96,16,34,28,15,6,2.61
,,Hesperia Unified,San Bernardino,769,B,8,1,1,0,60,1,28,0,71,6,0,20,9,9,28,28,26,91,17,33,31,12,7,2.58
,Mammoth High,Mammoth Unified,Mono,769,6,0,1,0,0,48,0,46,2,44,0,0,21,25,8,N/A,N/A,17,99,33,16,21,19,10,2.57
,Washington Middle,La Habra City Elementary,Orange,769,4,1,0,1,1,82,0,15,0,65,15,0,23,29,9,N/A,31,30,39,21,31,27,14,6,2.52
,Lassen Elementary,Los Angeles Unified,Los Angeles,769,3,4,0,3,4,83,2,3,0,87,5,0,38,15,16,18,14,N/A,90,24,29,25,16,7,2.52
,,Aromas/San Juan Unified,San Benito,769,B,1,1,2,1,64,0,30,0,55,0,16,30,14,11,22,25,27,94,26,23,33,13,5,2.49
,Brawley High,Brawley Union High,Imperial,769,6,1,0,1,0,86,0,11,1,63,25,13,22,21,6,N/A,N/A,28,98,25,27,30,12,6,2.46
,Will Rogers Elementary,Ventura Unified,Ventura,769,3,1,1,1,0,80,1,15,1,100,6,0,53,4,3,23,27,N/A,97,29,29,22,11,9,2.41
,James Madison Elementary,Desert Sands Unified,Riverside,769,3,2,0,1,1,89,0,7,1,87,1,1,40,8,9,28,25,N/A,99,22,35,29,8,5,2.38
,McKinley Elementary,San Leandro Unified,Alameda,769,3,19,0,9,5,57,1,7,2,78,7,0,38,15,9,28,32,N/A,95,20,37,31,11,1,2.35
,Lincoln Acres,National Elementary,San Diego,769,3,2,0,2,1,88,1,4,0,100,19,0,67,7,14,19,32,N/A,82,26,35,22,14,4,2.35
,Golden West Elementary,Manteca Unified,San Joaquin,769,3,6,1,3,1,63,0,25,1,83,1,1,26,12,15,22,30,27,92,18,45,24,11,2,2.33
,Gauldin Elementary,Downey Unified,Los Angeles,769,3,4,1,1,0,86,0,7,0,87,0,0,33,12,14,26,28,N/A,100,23,40,23,11,3,2.31
,Willard Elementary,Long Beach Unified,Los Angeles,769,3,11,0,11,0,72,0,4,0,93,8,2,48,22,6,30,33,N/A,88,31,27,28,11,3,2.28
,Captain Jason M. Dahl Elementary,Franklin-McKinley Elementary,Santa Clara,769,3,1,0,26,3,66,1,2,0,90,5,2,56,21,7,24,30,N/A,98,25,41,20,9,5,2.27
,Walnut Grove Elementary,River Delta Joint Unified,Sacramento,769,3,1,0,0,3,75,0,19,2,72,0,17,55,12,27,22,20,N/A,99,42,20,17,11,10,2.26
,Joshua Circle Elementary,Hesperia Unified,San Bernardino,769,3,8,0,1,0,77,0,13,0,90,3,0,41,5,9,32,29,N/A,94,22,57,15,4,2,2.08
,Gidley Elementary,El Monte City Elementary,Los Angeles,769,3,1,0,19,1,75,0,4,0,86,7,2,32,20,13,22,20,23,100,36,38,16,9,1,2.02
,Lyndale Elementary,Alum Rock Union Elementary,Santa Clara,769,3,2,1,5,8,82,1,1,1,100,8,3,45,27,12,19,33,N/A,88,45,25,17,9,4,2.02
,Gladstone Street Elementary,Azusa Unified,Los Angeles,769,3,1,0,0,1,95,0,1,1,87,5,3,46,7,13,23,31,N/A,99,43,28,23,4,2,1.94
,Death Valley High Academy,Death Valley Unified,Inyo,769,6,0,10,0,0,20,0,60,10,75,0,0,15,0,10,N/A,N/A,1,55,36,45,9,9,0,1.91
,Harvest Valley Elementary,Romoland Elementary,Riverside,769,3,1,0,0,0,78,0,20,0,79,2,0,46,7,13,25,27,N/A,100,37,42,16,4,1,1.88
,,Strathmore Union Elementary,Tulare,769,B,0,1,0,0,86,0,11,0,92,4,19,40,18,5,20,25,28,99,47,26,22,4,1,1.87
,Northridge Middle,Los Angeles Unified,Los Angeles,769,4,4,0,5,2,83,0,5,0,93,10,0,26,39,19,N/A,21,20,78,48,32,12,5,2,1.83
,,Baldwin Park Unified,Los Angeles,769,B,1,0,5,2,90,0,2,0,91,8,1,29,28,15,17,24,4,69,43,39,13,4,1,1.82
,Lankershim Elementary,San Bernardino City Unified,San Bernardino,769,3,14,1,3,0,77,0,5,0,93,11,0,41,19,12,27,30,N/A,64,47,35,13,3,2,1.79
,Jose Sepulveda Elementary,Santa Ana Unified,Orange,769,3,1,0,1,1,97,0,0,0,94,7,3,70,16,15,26,26,N/A,98,58,23,15,3,1,1.66
,Jerry Voorhis Elementary,Mountain View Elementary,Los Angeles,769,3,0,0,4,0,94,0,1,0,99,1,5,61,17,10,29,34,N/A,99,52,37,9,2,0,1.6
D,Santa Clarita Valley International,William S. Hart Union High,Los Angeles,769,3,0,0,0,0,24,0,4,0,12,0,0,5,0,8,10,13,12,0,100,0,0,0,0,1
,Santee Alternative,Santee Elementary,San Diego,768,3,3,0,0,0,15,0,72,10,13,3,0,5,8,3,,,,100,0,23,23,38,15,3.46
,Tahoe Truckee High,Tahoe-Truckee Joint Unified,Placer,768,6,1,0,1,0,28,0,69,1,31,12,0,10,15,13,N/A,N/A,25,95,9,18,18,32,22,3.4
,Camptonville Elementary,Camptonville Elementary,Yuba,768,3,0,0,0,0,11,3,19,0,51,0,0,0,0,19,,,,3,0,0,100,0,0,3
,Windsor High,Windsor Unified,Sonoma,768,6,1,2,2,1,38,0,54,1,31,8,2,10,19,11,N/A,N/A,24,88,18,19,27,24,12,2.94
,Black Diamond Middle,Antioch Unified,Contra Costa,768,4,36,1,7,8,28,1,18,0,60,6,0,8,11,15,N/A,32,27,77,7,26,40,21,6,2.94
,James Monroe Middle,Sierra Sands Unified,Kern,768,4,6,1,2,1,29,2,59,1,51,7,0,8,4,13,N/A,26,29,95,15,25,37,16,7,2.75
,,Leggett Valley Unified,Mendocino,768,B,1,9,0,0,16,0,73,0,39,0,0,0,0,14,14,12,1,77,5,42,36,13,4,2.69
