Gss year for this respondent                       ,Welfare,Highways and bridges,Social security,Mass transportation,Parks and recreation,Assistance for childcare,Supporting scientific research        ,Developing alternative energy sources,Foreign aid,"Military, armaments, and defense",Improving the conditions of blacks,Respondent id number,Space exploration program,Improving & protecting environment,Improving & protecting nations health,Solving problems of big cities,Halting rising crime rate,Dealing with drug addiction,Improving nations education system,Ballot used for interview
2016,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too much,About right,About right,1190,About right,About right,About right,Too little,Too little,About right,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,1191,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Too much,Too little,Too little,Not applicable,Not applicable,Not applicable,1192,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1193,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,Too little,About right,About right,Too little,About right,Too little,About right,Too little,Too little,1194,About right,About right,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,About right,About right,Too little,Not applicable,Not applicable,Not applicable,1195,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,About right,About right,About right,Too little,Too little,Too little,About right,Too much,About right,1196,Too little,Too little,Too little,About right,Too much,Too much,Too little,Ballot c
2016,Too little,Too little,About right,Too much,About right,Don't know,Too little,About right,About right,Too much,Too little,1197,Too much,Too little,Too little,About right,Too little,About right,Too little,Ballot a
2016,Too much,Too little,Too much,About right,About right,Too little,Too little,Too little,Too much,Too much,About right,1198,Too little,Too little,Too little,Don't know,About right,Too little,Too little,Ballot c
2016,About right,About right,About right,Too little,About right,Too little,Too little,Too little,About right,About right,Too little,1199,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,About right,About right,About right,About right,Too much,Too much,Not applicable,Not applicable,Not applicable,1200,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,About right,Don't know,About right,Don't know,About right,Don't know,Too much,About right,About right,1201,About right,Too little,Too little,About right,Too little,Too little,About right,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,1202,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,About right,Too little,Too little,Don't know,Don't know,About right,Not applicable,Not applicable,Not applicable,1203,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Don't know,About right,Too little,Not applicable,Not applicable,Not applicable,1204,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too much,Too little,About right,About right,Too little,Don't know,Too little,Not applicable,Not applicable,Not applicable,1205,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,Don't know,Too little,About right,About right,Too little,Too little,Too much,Too little,Don't know,1206,About right,Too much,Don't know,Don't know,Too little,Too much,About right,Ballot a
2016,Too much,About right,Too little,About right,About right,Too little,About right,About right,Too much,Too little,Too much,1207,About right,About right,Too much,Too much,Too little,About right,About right,Ballot c
2016,Not applicable,About right,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,1208,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too much,Too little,About right,About right,Too little,About right,Too little,About right,About right,About right,1209,About right,Too little,About right,Too little,Too little,Too little,Too little,Ballot a
2016,About right,Too little,Too much,Don't know,About right,Don't know,Too little,Too little,Too much,About right,About right,1210,Don't know,Too little,About right,About right,Too little,Too little,Too little,Ballot a
2016,Too much,About right,About right,About right,Too little,Too little,Too little,Too little,About right,About right,Too little,1211,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too much,Too little,About right,Too little,About right,Too much,About right,Not applicable,Not applicable,Not applicable,1212,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too much,About right,Too little,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,1213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too much,About right,Too much,Too much,Too much,Don't know,Don't know,Too little,Too little,Too little,1214,Don't know,About right,Too much,Too much,About right,About right,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1215,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,About right,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,1216,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,About right,Too little,About right,Too much,About right,Don't know,Not applicable,Not applicable,Not applicable,1217,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,About right,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1218,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,1219,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,Too little,About right,About right,Too little,Too little,About right,Too much,Too little,Too much,1220,Too much,Too little,Too much,About right,Too little,About right,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1221,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,About right,Too little,Too little,Too little,About right,About right,Too much,Too little,Too much,1222,About right,About right,About right,Too much,Too little,About right,Too little,Ballot b
2016,Not applicable,Too little,About right,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,1223,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,About right,Too much,About right,Too little,Too little,Too little,Too much,Too little,About right,1224,Too little,About right,Too much,Too much,About right,About right,About right,Ballot a
2016,About right,Too little,Too little,Too little,About right,About right,About right,Too little,Too much,Too much,About right,1225,About right,Too little,Too much,Too little,Too little,Too much,Too little,Ballot b
2016,Too much,About right,About right,About right,About right,About right,Too much,About right,Too much,About right,About right,1226,Too much,About right,About right,About right,About right,About right,About right,Ballot c
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1227,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,About right,Too little,Too little,About right,About right,About right,Not applicable,Not applicable,Not applicable,1228,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,Too little,About right,About right,Too little,About right,Too little,About right,Too much,Don't know,1229,Too much,Too little,Don't know,Don't know,About right,About right,Too little,Ballot b
2016,Too much,Too much,Too little,About right,About right,Too much,Too little,About right,About right,Too little,Too little,1230,Don't know,About right,Too much,Too little,Too little,Too much,Too little,Ballot c
2016,Not applicable,Too little,Too much,Too little,Too little,Too much,Too little,About right,Not applicable,Not applicable,Not applicable,1231,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1232,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,About right,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,1233,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,About right,Too little,Too little,About right,About right,Not applicable,Not applicable,Not applicable,1234,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1235,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,Too little,About right,About right,About right,Too little,About right,About right,About right,Too little,1236,Too little,About right,About right,Too little,Too little,About right,About right,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,Too much,Too little,About right,Not applicable,Not applicable,Not applicable,1237,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,Too little,Too little,Too little,Too much,Too little,Not applicable,Not applicable,Not applicable,1238,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,Too little,Too little,Too little,Too little,About right,Too little,Too much,Too little,About right,1239,About right,Too much,Too much,Too much,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,About right,Too little,Too little,About right,About right,About right,Not applicable,Not applicable,Not applicable,1240,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too little,About right,About right,About right,About right,About right,About right,About right,Too little,1241,About right,About right,Too little,About right,Too little,About right,Too little,Ballot c
2016,Not applicable,Too little,About right,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1242,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,Too much,Too much,About right,Too little,About right,About right,Too much,Too much,Too little,1243,About right,About right,Too little,Too little,About right,Too little,Too little,Ballot c
2016,Don't know,About right,About right,Too little,About right,Don't know,Too little,About right,Don't know,Too little,Too little,1244,Don't know,About right,About right,Too little,Don't know,Too little,Too little,Ballot a
2016,Not applicable,About right,Too little,Too little,Too little,Too little,Don't know,Don't know,Not applicable,Not applicable,Not applicable,1245,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,Too little,About right,About right,Too little,About right,About right,About right,Too much,About right,1246,About right,About right,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too much,Too little,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,1247,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,Too much,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,1248,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,About right,Too little,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,1249,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,About right,Too little,Too little,About right,Too little,About right,About right,Don't know,Too much,Too little,1250,Don't know,Too little,Too little,Don't know,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,About right,Too little,Too little,About right,About right,About right,Not applicable,Not applicable,Not applicable,1251,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too little,Too much,Too much,Too little,Too little,Too little,About right,Too little,About right,1252,Too much,Too little,Too little,About right,About right,Too little,Too little,Ballot a
2016,Not applicable,About right,About right,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,1253,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too much,Too little,Too much,Too little,Too little,Too much,About right,Too little,Too much,Too little,1254,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,About right,About right,About right,Too little,About right,Too little,Don't know,Too little,About right,Too little,About right,1255,Don't know,Too little,Too little,About right,Too little,Too little,About right,Ballot a
2016,Too much,Too much,Too little,Too much,Too little,Too little,Too little,Too little,Too much,Too much,About right,1256,Too much,Too little,Too much,About right,About right,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too much,Too much,About right,About right,About right,Too much,Not applicable,Not applicable,Not applicable,1257,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,About right,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,1258,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too much,Too little,Don't know,Too little,About right,About right,Too little,Too much,About right,Too much,1259,About right,Too little,Too much,Don't know,About right,Too little,About right,Ballot a
2016,Too little,Too little,Too little,Don't know,About right,Too little,About right,Too little,Too much,About right,Too little,1260,Too much,Too little,Too little,Don't know,Too little,About right,Too little,Ballot c
2016,About right,About right,Too little,Too much,About right,Too little,Too little,About right,Too much,Too little,About right,1261,About right,Too little,Too little,Too much,About right,Too little,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,Too much,Too little,Not applicable,Not applicable,Not applicable,1262,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,About right,About right,About right,Too little,Too little,Too much,Too little,Too much,1263,Too much,About right,Too little,Too little,Too little,Too little,About right,Ballot b
2016,Too much,About right,Too little,About right,About right,About right,Too much,About right,About right,About right,About right,1264,About right,Too little,Too little,About right,Too little,About right,Too little,Ballot c
2016,Too much,Too little,Too little,About right,Too little,Too little,Too little,About right,Too little,Too little,About right,1265,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,About right,About right,About right,Too much,Too little,About right,Not applicable,Not applicable,Not applicable,1266,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,About right,Too little,About right,Too little,Too little,Too little,Too little,About right,About right,1267,Don't know,Too little,About right,About right,Too little,Too little,Too little,Ballot b
2016,About right,About right,Too little,Too little,About right,Too little,About right,Too little,Too much,Too much,Too little,1268,About right,Too much,Too little,About right,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too much,About right,About right,Too much,Too little,About right,About right,Not applicable,Not applicable,Not applicable,1269,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Don't know,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1270,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,About right,Too little,Too much,About right,About right,About right,Not applicable,Not applicable,Not applicable,1271,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,About right,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1272,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1273,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,Too little,About right,About right,About right,Don't know,Too little,Too much,Too much,About right,1274,Too little,Too little,About right,About right,About right,About right,About right,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Not applicable,Not applicable,Not applicable,1275,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,About right,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,1276,Too little,Too little,Too little,About right,Too little,Too little,Too little,Ballot c
2016,Too much,Too little,Too little,About right,Too little,Too much,Too much,Too little,Too much,About right,No answer,1277,About right,Too much,Too much,Too little,Too little,Too much,About right,Ballot a
2016,Not applicable,About right,Too little,Too little,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,1278,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,About right,About right,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,1279,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,1280,About right,About right,About right,About right,About right,Too little,About right,Ballot a
2016,Not applicable,Too little,Too little,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,1281,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too much,Too little,Too much,About right,About right,Too much,About right,Too much,Too little,Too much,1282,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too much,About right,About right,Too little,Too much,Not applicable,Not applicable,Not applicable,1283,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,About right,About right,About right,About right,About right,Too little,About right,About right,About right,1284,About right,Too little,About right,About right,Too little,About right,Too little,Ballot c
2016,About right,Too little,Too little,About right,About right,About right,Too little,Too little,Too little,Too much,About right,1285,About right,About right,Too much,About right,About right,Too little,Too much,Ballot b
2016,Not applicable,Too little,Too little,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too much,Too much,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,1287,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too much,Too little,Too little,1288,About right,Too little,Too little,About right,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1289,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,1290,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,About right,Too much,About right,About right,Too little,Too little,Too much,Too much,About right,Don't know,Too little,1291,About right,Too little,About right,Too little,About right,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1292,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too much,Too much,About right,Too little,Too much,Too much,Too much,Too much,Too much,Too much,1293,Too much,Too much,Too much,About right,Too little,Too much,Too much,Ballot c
2016,Too much,Too little,Too little,Too little,Too little,Too little,About right,Too little,Don't know,Too little,Too little,1294,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too much,Too much,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1295,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,About right,Too little,About right,Too little,Too little,Too much,Too little,Too little,1296,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too much,Too little,About right,About right,Too little,Too much,About right,Not applicable,Not applicable,Not applicable,1297,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,About right,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,1298,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,About right,Too little,Don't know,Not applicable,Not applicable,Not applicable,1299,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,About right,About right,About right,About right,About right,About right,Too much,Too little,Too much,1300,Too little,Too much,About right,Too much,About right,Too little,About right,Ballot a
2016,Not applicable,About right,Too little,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,1301,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,Too much,About right,About right,About right,About right,Too little,About right,Too little,Too little,1302,About right,Too little,About right,About right,About right,Too little,Too much,Ballot b
2016,About right,About right,Too little,About right,Too little,Too little,Too little,Too little,Too much,About right,Too much,1303,About right,Too little,Too little,About right,Too little,About right,Too little,Ballot c
2016,Not applicable,About right,Too little,About right,About right,Too little,Too much,Too much,Not applicable,Not applicable,Not applicable,1304,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1305,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,About right,About right,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,1306,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,About right,Don't know,Don't know,Too little,Too little,Not applicable,Not applicable,Not applicable,1307,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,Too little,About right,About right,About right,About right,About right,Too much,About right,About right,1308,About right,About right,Too little,Too little,About right,Too little,Too little,Ballot c
2016,Too much,Too much,About right,Too much,Too much,Too little,Don't know,Too much,Too much,Too much,About right,1309,Too little,About right,Too much,Too much,Too much,Too much,Too much,Ballot b
2016,Not applicable,About right,About right,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,1310,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too much,About right,About right,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,1311,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,Too much,About right,About right,Too little,Too little,Too little,Too much,About right,Too little,1312,About right,Too little,About right,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,About right,About right,Don't know,About right,Too little,About right,Too much,Not applicable,Not applicable,Not applicable,1313,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,About right,About right,About right,About right,About right,Too much,Too much,Too much,Too little,1314,Don't know,Too much,Too much,Too much,Too little,About right,About right,Ballot a
2016,Not applicable,Too little,About right,Too much,Too much,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,1315,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,About right,About right,About right,About right,Too little,Too much,About right,About right,1316,About right,About right,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too much,Too little,About right,About right,About right,About right,Too much,Not applicable,Not applicable,Not applicable,1317,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,About right,About right,About right,About right,About right,Too little,Too much,Too little,Too little,1318,About right,About right,About right,Too much,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,Don't know,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1319,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,Too little,About right,About right,About right,About right,About right,Too much,Too little,About right,1320,Don't know,About right,Don't know,About right,About right,About right,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,1321,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,About right,Too little,Too much,About right,Too little,Too much,Too little,Too much,1322,Too much,Too little,About right,Too much,Too little,About right,Too much,Ballot a
2016,Not applicable,About right,About right,Too little,About right,Too much,About right,About right,Not applicable,Not applicable,Not applicable,1323,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,About right,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,1324,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too much,1325,About right,Too little,Too much,Too little,Too little,Too little,About right,Ballot c
2016,Too much,Too little,Too little,Too much,Too little,Too much,Too little,Too much,Too much,Too little,Too much,1326,Too little,Too much,Too much,Too much,Too little,Too much,Too much,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1327,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,Too much,Too little,About right,Too little,Too little,About right,Too much,Too little,About right,1328,About right,Too much,About right,Too much,About right,About right,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,1329,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,About right,About right,About right,About right,About right,About right,Too much,Too little,Too little,1330,Too little,About right,About right,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,1331,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,About right,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,1332,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,About right,Too little,About right,Too little,About right,Too little,Too much,Too much,About right,1333,About right,Too little,Too little,About right,About right,Too little,Too little,Ballot b
2016,Don't know,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too much,Too little,1334,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1335,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too much,About right,Too much,Too much,Too little,Too little,Not applicable,Not applicable,Not applicable,1336,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,About right,About right,Too little,Too much,Too little,About right,About right,Too much,About right,1337,Too little,Too little,Too little,About right,Too little,Too much,Too little,Ballot c
2016,Not applicable,Too little,About right,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,1338,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,1339,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
